cible_debit_J+0,cible_debit_J+1,cible_debit_J+2,cible_debit_J+3,cible_debit_J+4,cible_debit_J+5,cible_debit_J+6,cible_debit_J+7,cible_debit_J+8,cible_debit_J+9,cible_debit_J+10,cible_debit_J+11,cible_debit_J+12,cible_debit_J+13,cible_debit_J+14,cible_debit_J+15
3632.9380201791064,3240.8714052684463,3567.2590352459933,3448.5960738905214,3417.8869519114965,3464.5385058182283,3487.024057105209,3616.1389484063875,3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204
3240.8714052684463,3567.2590352459933,3448.5960738905214,3417.8869519114965,3464.5385058182283,3487.024057105209,3616.1389484063875,3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094
3567.2590352459933,3448.5960738905214,3417.8869519114965,3464.5385058182283,3487.024057105209,3616.1389484063875,3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864
3448.5960738905214,3417.8869519114965,3464.5385058182283,3487.024057105209,3616.1389484063875,3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047
3417.8869519114965,3464.5385058182283,3487.024057105209,3616.1389484063875,3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183
3464.5385058182283,3487.024057105209,3616.1389484063875,3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557
3487.024057105209,3616.1389484063875,3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257
3616.1389484063875,3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447
3590.837608643446,3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868
3773.645938296479,3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254
3465.7887008564335,3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816
3671.6093126452515,3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012
3605.6813050190785,3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056
3795.237915127858,3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922
3528.3962082973494,3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814
3728.1652218963204,3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883
3805.6587477573094,3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357
3658.0892067112864,3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385
3926.6735724047,3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391
3867.4142425340183,3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391,4086.242075267378
3971.3680687843557,3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391,4086.242075267378,4124.673852185455
3987.4827207449257,3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391,4086.242075267378,4124.673852185455,4215.72655653448
3814.1967932028447,3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391,4086.242075267378,4124.673852185455,4215.72655653448,4090.537688810329
3852.750759610868,3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391,4086.242075267378,4124.673852185455,4215.72655653448,4090.537688810329,4164.607781555194
3932.2692216529254,4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391,4086.242075267378,4124.673852185455,4215.72655653448,4090.537688810329,4164.607781555194,4218.0722112339445
4047.1886872598816,4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391,4086.242075267378,4124.673852185455,4215.72655653448,4090.537688810329,4164.607781555194,4218.0722112339445,4309.064771421061
4076.991941546012,3940.135705411056,3969.2942519922,3968.8366593316814,4008.4898050449883,4061.1002504091357,4089.369006430385,4325.693618648391,4086.242075267378,4124.673852185455,4215.72655653448,4090.537688810329,4164.607781555194,4218.0722112339445,4309.064771421061,4114.594039343511
