date,debit_L_s
2015-01-16,3632.9380201791064
2015-01-17,3240.8714052684463
2015-01-18,3567.2590352459933
2015-01-19,3448.5960738905214
2015-01-20,3417.8869519114965
2015-01-21,3464.5385058182283
2015-01-22,3487.024057105209
2015-01-23,3616.1389484063875
2015-01-24,3590.837608643446
2015-01-25,3773.645938296479
2015-01-26,3465.7887008564335
2015-01-27,3671.6093126452515
2015-01-28,3605.6813050190785
2015-01-29,3795.237915127858
2015-01-30,3528.3962082973494
2015-01-31,3728.1652218963204
2015-02-01,3805.6587477573094
2015-02-02,3658.0892067112864
2015-02-03,3926.6735724047
2015-02-04,3867.4142425340183
2015-02-05,3971.3680687843557
2015-02-06,3987.4827207449257
2015-02-07,3814.1967932028447
2015-02-08,3852.750759610868
2015-02-09,3932.2692216529254
2015-02-10,4047.1886872598816
2015-02-11,4076.991941546012
2015-02-12,3940.135705411056
2015-02-13,3969.2942519922
2015-02-14,3968.8366593316814
2015-02-15,4008.4898050449883
2015-02-16,4061.1002504091357
2015-02-17,4089.369006430385
2015-02-18,4325.693618648391
2015-02-19,4086.242075267378
2015-02-20,4124.673852185455
2015-02-21,4215.72655653448
2015-02-22,4090.537688810329
2015-02-23,4164.607781555194
2015-02-24,4218.0722112339445
2015-02-25,4309.064771421061
2015-02-26,4114.594039343511
2015-02-27,4397.519050140472
2015-02-28,4238.929982632061
2015-03-01,4304.5439270482
2015-03-02,4385.356658815263
2015-03-03,4379.387781460648
2015-03-04,4431.503709660546
2015-03-05,4354.780073838519
2015-03-06,4346.982951992087
2015-03-07,4391.676962074657
2015-03-08,4271.139935451333
2015-03-09,4502.406962113784
2015-03-10,4313.3176944628285
2015-03-11,4274.288448688622
2015-03-12,4614.995857023446
2015-03-13,4404.335576418413
2015-03-14,4308.27307146088
2015-03-15,4619.195987777408
2015-03-16,4408.356875893736
2015-03-17,4554.468327500061
2015-03-18,4371.8159231161935
2015-03-19,4435.960351747025
2015-03-20,4297.62669137486
2015-03-21,4280.793008774041
2015-03-22,4378.815307942276
2015-03-23,4472.989779083403
2015-03-24,4564.488975469211
2015-03-25,4730.769834309735
2015-03-26,4387.978497543902
2015-03-27,4594.644580241972
2015-03-28,4435.4401857674275
2015-03-29,4482.312429090428
2015-03-30,4350.694122272239
2015-03-31,4351.719111851818
2015-04-01,4422.132265696027
2015-04-02,4380.584036464246
2015-04-03,4499.012589254195
2015-04-04,4428.145824447434
2015-04-05,4622.0528208481865
2015-04-06,4510.427945860239
2015-04-07,4509.350223086316
2015-04-08,4603.828602108124
2015-04-09,4538.714047071758
2015-04-10,4479.547261422275
2015-04-11,4470.147036345652
2015-04-12,4462.625596863058
2015-04-13,4577.457350749324
2015-04-14,4542.723478299068
2015-04-15,4495.203129973613
2015-04-16,4532.259057883235
2015-04-17,4391.257804819561
2015-04-18,4489.720615517936
2015-04-19,4289.866458789724
2015-04-20,4557.884884885511
2015-04-21,4423.79952482137
2015-04-22,4424.35220777371
2015-04-23,4456.753439197837
2015-04-24,4386.232904056663
2015-04-25,4351.771383935058
2015-04-26,4485.731415207136
2015-04-27,4367.494356454591
2015-04-28,4253.097220139766
2015-04-29,4377.007463321857
2015-04-30,4150.512240426471
2015-05-01,4474.160328931008
2015-05-02,4278.687536955555
2015-05-03,4287.200148229191
2015-05-04,4494.820377993285
2015-05-05,4470.273478963302
2015-05-06,4252.36467386611
2015-05-07,4288.588107795268
2015-05-08,4320.074102984062
2015-05-09,4363.854489827945
2015-05-10,4166.785559186939
2015-05-11,4177.314180603033
2015-05-12,4269.800507879342
2015-05-13,4157.5015268470725
2015-05-14,4188.871346359294
2015-05-15,4156.952697972952
2015-05-16,3964.6966211034865
2015-05-17,3974.1957321845184
2015-05-18,3777.5442687470118
2015-05-19,3996.946153214019
2015-05-20,4137.81932714496
2015-05-21,3873.6951899289998
2015-05-22,4088.3851379485886
2015-05-23,4045.0627537739206
2015-05-24,3919.4476009794853
2015-05-25,3903.7206362277525
2015-05-26,3892.047444934396
2015-05-27,3776.6762496900633
2015-05-28,3813.3173988794047
2015-05-29,3815.410478644968
2015-05-30,3859.534502835109
2015-05-31,3855.5595499415526
2015-06-01,3679.9122745202385
2015-06-02,3814.342032271811
2015-06-03,3631.351759879529
2015-06-04,3669.405410813632
2015-06-05,3700.202763517668
2015-06-06,3637.74578508088
2015-06-07,3603.884548986377
2015-06-08,3619.911808935754
2015-06-09,3513.8993607413518
2015-06-10,3479.9558043087673
2015-06-11,3500.692820997286
2015-06-12,3592.958962942136
2015-06-13,3462.2456230574803
2015-06-14,3638.305359333704
2015-06-15,3444.5868211979414
2015-06-16,3100.9046798920294
2015-06-17,3329.4543431548987
2015-06-18,3514.867796751049
2015-06-19,3323.850556068539
2015-06-20,3254.188546683347
2015-06-21,3185.273707487247
2015-06-22,3379.606552809748
2015-06-23,3322.023152904387
