date,debit_L_s
2023-07-25,2862.0
2023-07-26,2685.0
2023-07-27,2600.0
2023-07-28,2514.0
2023-07-29,2601.0
2023-07-30,3286.0
2023-07-31,2848.0
2023-08-01,2721.0
2023-08-02,2566.0
2023-08-03,2439.0
2023-08-04,2307.0
2023-08-05,2193.0
2023-08-06,2077.0
2023-08-07,2008.0
2023-08-08,1962.0
2023-08-09,1897.0
2023-08-10,1840.0
2023-08-11,1808.0
2023-08-12,1777.0
2023-08-13,1746.0
2023-08-14,1750.0
2023-08-15,1737.0
2023-08-16,1727.0
2023-08-17,1701.0
2023-08-18,1665.0
2023-08-19,1655.0
2023-08-20,1621.0
2023-08-21,1619.0
2023-08-22,1600.0
2023-08-23,1577.0
2023-08-24,1601.0
2023-08-25,1570.0
2023-08-26,1722.0
2023-08-27,7767.0
2023-08-28,6866.0
2023-08-29,3231.0
2023-08-30,2709.0
2023-08-31,2488.0
2023-09-01,2250.0
2023-09-02,2105.0
2023-09-03,2016.0
2023-09-04,1954.0
2023-09-05,1961.0
2023-09-06,1931.0
2023-09-07,1912.0
2023-09-08,1907.0
2023-09-09,1910.0
2023-09-10,1940.0
2023-09-11,1935.0
2023-09-12,1915.0
2023-09-13,1909.0
2023-09-14,1908.0
2023-09-15,1907.0
2023-09-16,1900.0
2023-09-17,1889.0
2023-09-18,2781.0
2023-09-19,2591.0
2023-09-20,2148.0
2023-09-21,2114.0
2023-09-22,4572.0
2023-09-23,2706.0
2023-09-24,2370.0
2023-09-25,2156.0
2023-09-26,1969.0
2023-09-27,2006.0
2023-09-28,1981.0
2023-09-29,1946.0
2023-09-30,1896.0
2023-10-01,1850.0
2023-10-02,1830.0
2023-10-03,1808.0
2023-10-04,1777.0
2023-10-05,1758.0
2023-10-06,1740.0
2023-10-07,1708.0
2023-10-08,1689.0
2023-10-09,1654.0
2023-10-10,1667.0
2023-10-11,1659.0
2023-10-12,1632.0
2023-10-13,1611.0
2023-10-14,1594.0
2023-10-15,1563.0
2023-10-16,1654.0
2023-10-17,1643.0
2023-10-18,1580.0
2023-10-19,2857.0
2023-10-21,8292.0
2023-10-22,6610.0
2023-10-23,5012.0
2023-10-24,9218.0
2023-10-25,7735.0
2023-10-28,14477.0
2023-10-29,11505.0
2023-11-01,15285.0
2023-11-03,15796.0
2023-11-04,14576.0
2023-11-05,15183.0
2023-11-06,13646.0
2023-11-07,11919.0
2023-11-08,10131.0
2023-11-09,9618.0
2023-11-10,9287.0
2023-11-11,8017.0
2023-11-12,7885.0
2023-11-13,8828.0
2023-11-16,15588.0
2023-11-17,13359.0
2023-11-18,11863.0
2023-11-19,11025.0
2023-11-20,10495.0
2023-11-21,9490.0
2023-11-22,8997.0
2023-11-23,8617.0
2023-11-24,8190.0
2023-11-25,7564.0
2023-11-26,6910.0
2023-11-27,6907.0
2023-11-28,6854.0
2023-11-29,6329.0
2023-11-30,10472.0
2023-12-03,16242.0
2023-12-04,12945.0
2023-12-05,10757.0
2023-12-06,9638.0
2023-12-07,8952.0
2023-12-08,8539.0
2023-12-09,8675.0
2023-12-10,10241.0
2023-12-13,19082.0
2023-12-14,16214.0
2023-12-15,13549.0
2023-12-16,11647.0
2023-12-17,10393.0
2023-12-18,9409.0
2023-12-19,8713.0
2023-12-20,8042.0
2023-12-21,7402.0
2023-12-22,7179.0
2023-12-23,6332.0
2023-12-24,5955.0
2023-12-25,5596.0
2023-12-26,5328.0
2023-12-27,4956.0
2023-12-28,4663.0
2023-12-29,4411.0
2023-12-30,4162.0
2023-12-31,4055.0
2024-01-01,3833.0
2024-01-02,3808.0
2024-01-03,3912.0
2024-01-04,3633.0
2024-01-05,3812.0
2024-01-06,3700.0
2024-01-07,3512.0
2024-01-08,3670.0
2024-01-09,4021.0
2024-01-10,3848.0
2024-01-11,3713.0
2024-01-12,3646.0
2024-01-13,3385.0
2024-01-14,2778.0
2024-01-15,2516.0
2024-01-16,2434.0
2024-01-17,3180.0
2024-01-18,7225.0
2024-01-19,6743.0
2024-01-20,5399.0
2024-01-21,4743.0
2024-01-22,4511.0
2024-01-23,4102.0
2024-01-24,4018.0
2024-01-25,3985.0
2024-01-26,3845.0
2024-01-27,3753.0
2024-01-28,3614.0
2024-01-29,3460.0
2024-01-30,3323.0
2024-01-31,3211.0
2024-02-01,3081.0
2024-02-02,2979.0
2024-02-03,2877.0
2024-02-04,2807.0
2024-02-05,2783.0
2024-02-06,2710.0
2024-02-07,2622.0
2024-02-08,2579.0
2024-02-09,2636.0
2024-02-10,2829.0
2024-02-11,2940.0
2024-02-12,2801.0
2024-02-13,2678.0
2024-02-14,2602.0
2024-02-15,2542.0
2024-02-16,2478.0
2024-02-17,2439.0
2024-02-18,2435.0
2024-02-19,2424.0
2024-02-20,2376.0
2024-02-21,2431.0
2024-02-22,2742.0
2024-02-23,3156.0
2024-02-24,2763.0
2024-02-25,2661.0
2024-02-26,2768.0
2024-02-27,2682.0
2024-02-28,2588.0
2024-02-29,2513.0
2024-03-01,2540.0
2024-03-02,2470.0
2024-03-03,2438.0
2024-03-04,2375.0
2024-03-05,2393.0
2024-03-06,2310.0
2024-03-07,2317.0
2024-03-08,2320.0
2024-03-09,2262.0
2024-03-10,2323.0
2024-03-11,2209.0
2024-03-12,2146.0
2024-03-13,2155.0
2024-03-14,2191.0
2024-03-15,2225.0
2024-03-16,2249.0
