date,debit_L_s
2016-01-01,1487.0
2016-01-02,1521.0
2016-01-03,1459.0
2016-01-04,1581.0
2016-01-05,1605.0
2016-01-06,1579.0
2016-01-07,1848.0
2016-01-08,2046.0
2016-01-09,2399.0
2016-01-10,2512.0
2016-01-11,2815.0
2016-01-12,2709.0
2016-01-13,2544.0
2016-01-14,2470.0
2016-01-15,2360.0
2016-01-16,2254.0
2016-01-17,2149.0
2016-01-18,2070.0
2016-01-19,2005.0
2016-01-20,1940.0
2016-01-21,1874.0
2016-01-22,1822.0
2016-01-23,1803.0
2016-01-24,1789.0
2016-01-25,1823.0
2016-01-26,1874.0
2016-01-27,1914.0
2016-01-28,1934.0
2016-01-29,1913.0
2016-01-30,1924.0
2016-01-31,2296.0
2016-02-01,2479.0
2016-02-02,2400.0
2016-02-03,2354.0
2016-02-04,2239.0
2016-02-05,2199.0
2016-02-06,2170.0
2016-02-07,2285.0
2016-02-08,2539.0
2016-02-09,2818.0
2016-02-10,2756.0
2016-02-11,2599.0
2016-02-12,2541.0
2016-02-13,2418.0
2016-02-14,2476.0
2016-02-15,2437.0
2016-02-16,2361.0
2016-02-17,2301.0
2016-02-18,2246.0
2016-02-19,2187.0
2016-02-20,2132.0
2016-02-21,2174.0
2016-02-22,2468.0
2016-02-23,3080.0
2016-02-24,2859.0
2016-02-25,2762.0
2016-02-26,2679.0
2016-02-27,2600.0
2016-02-28,2523.0
2016-02-29,2540.0
2016-03-01,2614.0
2016-03-02,2588.0
2016-03-03,2552.0
2016-03-04,2495.0
2016-03-05,2647.0
2016-03-06,2556.0
2016-03-07,2487.0
2016-03-08,2366.0
2016-03-09,2214.0
2016-03-10,2170.0
2016-03-11,2157.0
2016-03-12,2150.0
2016-03-13,2183.0
2016-03-14,2211.0
2016-03-15,2184.0
2016-03-16,2179.0
2016-03-17,2120.0
2016-03-18,2078.0
2016-03-19,2100.0
2016-03-20,2125.0
2016-03-21,2111.0
2016-03-22,2170.0
2016-03-23,2232.0
2016-03-24,2151.0
2016-03-25,2151.0
2016-03-26,2137.0
2016-03-27,2199.0
2016-03-28,2131.0
2016-03-29,2103.0
2016-03-30,2071.0
2016-03-31,2158.0
2016-04-01,2322.0
2016-04-02,2663.0
2016-04-03,3830.0
2016-04-04,5030.0
2016-04-05,5092.0
2016-04-06,5857.0
2016-04-07,6132.0
2016-04-08,5802.0
2016-04-09,5151.0
2016-04-10,4855.0
2016-04-11,4878.0
2016-04-12,4856.0
2016-04-13,4987.0
2016-04-14,4920.0
2016-04-15,4841.0
2016-04-16,5018.0
2016-04-17,5902.0
2016-04-18,5781.0
2016-04-19,5605.0
2016-04-20,5677.0
2016-04-21,5697.0
2016-04-22,6016.0
2016-04-23,6057.0
2016-04-24,5900.0
2016-04-25,5502.0
2016-04-26,4653.0
2016-04-27,4063.0
2016-04-28,3793.0
2016-04-29,3790.0
2016-04-30,3880.0
2016-05-01,3697.0
2016-05-02,3564.0
2016-05-03,3551.0
2016-05-04,3632.0
2016-05-05,3921.0
2016-05-06,4347.0
2016-05-07,4497.0
2016-05-08,4430.0
2016-05-09,4765.0
2016-05-10,8923.0
2016-05-11,11601.0
2016-05-12,10962.0
2016-05-13,8875.0
2016-05-14,7406.0
2016-05-15,7282.0
2016-05-16,7216.0
2016-05-17,7352.0
2016-05-18,7413.0
2016-05-19,7631.0
2016-05-20,6649.0
2016-05-21,6872.0
2016-05-22,7964.0
2016-05-23,8382.0
2016-05-24,7163.0
2016-05-25,6535.0
2016-05-26,6516.0
2016-05-27,8116.0
2016-05-28,9972.0
2016-05-29,11702.0
2016-05-30,10646.0
2016-05-31,9784.0
2016-06-01,9291.0
2016-06-02,9027.0
2016-06-03,8683.0
2016-06-04,8929.0
2016-06-05,9454.0
2016-06-06,9751.0
2016-06-07,9726.0
2016-06-08,10075.0
2016-06-09,9936.0
2016-06-10,9734.0
2016-06-11,9233.0
2016-06-12,8845.0
2016-06-13,8310.0
2016-06-14,8304.0
2016-06-15,7781.0
2016-06-16,14154.0
2016-06-17,13305.0
2016-06-18,10956.0
2016-06-19,10964.0
2016-06-20,10252.0
2016-06-21,10230.0
2016-06-22,10742.0
2016-06-23,11239.0
2016-06-24,11592.0
2016-06-25,11122.0
2016-06-26,9940.0
2016-06-27,9070.0
2016-06-28,8879.0
2016-06-29,8518.0
2016-06-30,8199.0
2016-07-01,8087.0
2016-07-02,8130.0
2016-07-03,7676.0
2016-07-04,7296.0
2016-07-05,7041.0
2016-07-06,6631.0
2016-07-07,6206.0
2016-07-08,6142.0
2016-07-09,5971.0
2016-07-10,5952.0
2016-07-11,6130.0
2016-07-12,8780.0
2016-07-13,7094.0
2016-07-14,5761.0
2016-07-15,5311.0
2016-07-16,4974.0
2016-07-17,4917.0
2016-07-18,4940.0
2016-07-19,4880.0
